,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
162,indent level for line,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,492,indentLevelForLine,,,
163,scope descriptor for position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,507,scopeDescriptorForPosition,,,
164,token for position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,528,tokenForPosition,,,
165,token start position for position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,533,tokenStartPositionForPosition,,,
166,buffer range for scope at position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,539,bufferRangeForScopeAtPosition,,,
167,be row comment,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,600,isRowCommented,,,
168,get foldable range contain point,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,604,getFoldableRangeContainingPoint,,,
169,get foldable range at indent level,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,621,getFoldableRangesAtIndentLevel,,,
170,get foldable range,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,639,getFoldableRanges,,,
171,end row for fold at row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,653,endRowForFoldAtRow,,,
172,end row for comment fold at row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,661,endRowForCommentFoldAtRow,,,
173,end row for code fold at row,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,674,endRowForCodeFoldAtRow,,,
174,increase indent regex for scope descriptor,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,697,increaseIndentRegexForScopeDescriptor,,,
175,decrease indent regex for scope descriptor,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,701,decreaseIndentRegexForScopeDescriptor,,,
176,decrease next indent regex for scope descriptor,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,705,decreaseNextIndentRegexForScopeDescriptor,,,
177,fold end regex for scope descriptor,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,709,foldEndRegexForScopeDescriptor,,,
178,regex for pattern,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,713,regexForPattern,,,
179,log line,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,722,logLines,,,
180,seek,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,739,seek,,,
181,move to successor,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,799,moveToSuccessor,,,
182,get position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,838,getPosition,,,
183,get close scope id,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,842,getCloseScopeIds,,,
184,get open scope id,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,846,getOpenScopeIds,,,
185,move to next line,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,850,moveToNextLine,,,
186,be at tag boundary,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,863,isAtTagBoundary,,,
187,save callback,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,87,saveCallback,,,
188,initialize,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,201,initialize,,,
189,preload package,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,276,preloadPackages,,,
190,attach save state listener,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,280,attachSaveStateListeners,,,
191,register default deserializers,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,294,registerDefaultDeserializers,,,
192,register default command,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,305,registerDefaultCommands,,,
193,register default opener,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,309,registerDefaultOpeners,,,
194,register default target for keymaps,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,324,registerDefaultTargetForKeymaps,,,
195,observe auto hide menu bar,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,328,observeAutoHideMenuBar,,,
196,reset,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,335,reset,,,
197,destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,369,destroy,,,
198,on do beep,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,395,onDidBeep,,,
199,on will throw error,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,412,onWillThrowError,,,
200,on do throw error,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,427,onDidThrowError,,,
201,on do fail assertion,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,434,onDidFailAssertion,,,
202,when shell environment load,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,442,whenShellEnvironmentLoaded,,,
203,in dev mode,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,456,inDevMode,,,
204,in safe mode,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,462,inSafeMode,,,
205,in spec mode,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,468,inSpecMode,,,
206,be first load,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,475,isFirstLoad,,,
207,get version,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,483,getVersion,,,
208,get release channel,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,493,getReleaseChannel,,,
209,be release version,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,507,isReleasedVersion,,,
210,get window load time,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,518,getWindowLoadTime,,,
211,get load setting,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,525,getLoadSettings,,,
212,open,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,547,open,,,
213,pick folder,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,556,pickFolder,,,
214,close,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,561,close,,,
215,get size,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,568,getSize,,,
216,set size,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,576,setSize,,,
217,get position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,583,getPosition,,,
218,set position,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,591,setPosition,,,
219,get current window,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,596,getCurrentWindow,,,
220,center,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,601,center,,,
221,focus,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,606,focus,,,
222,show,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,612,show,,,
223,hide,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,617,hide,,,
224,reload,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,622,reload,,,
225,restart application,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,627,restartApplication,,,
226,be maximize,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,632,isMaximized,,,
227,maximize,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/atom-environment.js,636,maximize,,,
